2023-02-10 15:24:33,771 INFO    MainThread:11720 [wandb_setup.py:_flush():68] Configure stats pid to 11720
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_setup.py:_flush():68] Loading settings from /home/bersi/.config/wandb/settings
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_setup.py:_flush():68] Loading settings from /home/bersi/Documents/CS6910-Assignment1/wandb/settings
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:_log_setup():492] Logging user logs to /home/bersi/Documents/CS6910-Assignment1/wandb/run-20230210_152433-uhjl9w2f/logs/debug.log
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:_log_setup():493] Logging internal logs to /home/bersi/Documents/CS6910-Assignment1/wandb/run-20230210_152433-uhjl9w2f/logs/debug-internal.log
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f6f2b7b3310>
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:init():532] calling init triggers
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:init():588] starting backend
2023-02-10 15:24:33,772 INFO    MainThread:11720 [wandb_init.py:init():592] setting up manager
2023-02-10 15:24:33,774 INFO    MainThread:11720 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-10 15:24:33,775 INFO    MainThread:11720 [wandb_init.py:init():599] backend started and connected
2023-02-10 15:24:33,780 INFO    MainThread:11720 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-10 15:24:33,780 INFO    MainThread:11720 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-10 15:24:33,780 INFO    MainThread:11720 [wandb_init.py:init():687] updated telemetry
2023-02-10 15:24:33,782 INFO    MainThread:11720 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-10 15:24:34,440 INFO    MainThread:11720 [wandb_run.py:_on_init():2134] communicating current version
2023-02-10 15:24:34,532 INFO    MainThread:11720 [wandb_run.py:_on_init():2143] got version response 
2023-02-10 15:24:34,532 INFO    MainThread:11720 [wandb_init.py:init():775] starting run threads in backend
2023-02-10 15:24:35,683 INFO    MainThread:11720 [wandb_run.py:_console_start():2114] atexit reg
2023-02-10 15:24:35,683 INFO    MainThread:11720 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-10 15:24:35,683 INFO    MainThread:11720 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-10 15:24:35,683 INFO    MainThread:11720 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-10 15:24:35,683 INFO    MainThread:11720 [wandb_init.py:init():817] run started, returning control to user process
2023-02-10 15:24:35,684 INFO    MainThread:11720 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-02-10 15:24:35,684 INFO    MainThread:11720 [wandb_init.py:_pause_backend():403] pausing backend
